Stad.;Country;Country new;Population;Reinforcements;Income;Port;Extra;rein new;Stad.,Land,Populatie,Versterkingen,Inkomen,Haven,Extra,
Car Nicobar;India: South;India;3300;3;11;;;;Car Nicobar,India: South,3300,3,11,,,
Caracas;Venezuela;;4443863;10;144;X;;;Caracas,Venezuela,4443863,10,144,X,,
Cardiff;United Kingdom;;345634;7;100;;;;Cardiff,United Kingdom,345634,7,100,,,
Carson City;USA: Nevada;USA;92079;2;2;;;;Carson City,USA: Nevada,92079,2,2,,,
Cartagena Naval Base;Spain;;2000;8;11;X;;;Cartagena Naval Base,Spain,2000,8,11,X,,
Casablanca;Morocco;;3333684;10;72;X;;;Casablanca,Morocco,3333684,10,72,X,,
Casper;USA: Wyoming;USA;81624;1;5;;X;;Casper,USA: Wyoming,81624,1,5,,X,
Castries;Saint Lucia;;20000;1;11;X;X;;Castries,Saint Lucia,20000,1,11,X,X,
Catania;Italy;;293241;6;11;X;;;Catania,Italy,293241,6,11,X,,
Cayenne;France;;57614;5;11;X;;;Cayenne,France,57614,5,11,X,,
Cayman Islands;United Kingdom;;68706;1;20;X;;;Cayman Islands,United Kingdom,68706,1,20,X,,
Cayo Largo del Sur;Cuba;;700000;7;19;X;;;Cayo Largo del Sur,Cuba,700000,7,19,X,,
Cebu; Mandaue & Lapu-Lapu City;;Philippines;1480421;9;22;X;;Cebu, Mandaue & Lapu-Lapu City,Philippines,1480421,9,22,X,,
Celje;Slovenia;;37520;4;11;;;;Celje,Slovenia,37520,4,11,,,
Central Theather Command HQ;China: Hebei;;8000;10;11;;;;Central Theather Command HQ,China: Hebei,8000,10,11,,,
Ceuta;Spain;;84829;5;20;X;;;Ceuta,Spain,84829,5,20,X,,
Chabahar Military base;India: Central;India;1500;8;11;X;;;Chabahar Military base,India: Central,1500,8,11,X,,
Changchun;China: Jilin;;5566000;8;107;;;;Changchun,China: Jilin,5566000,8,107,,,
Changde;China: Jiangxi;;1469055;2;58;;X;;Changde,China: Jiangxi,1469055,2,58,,X,
Changi Naval Base;Singapore;;3000;10;50;X;;;Changi Naval Base,Singapore,3000,10,50,X,,
Changsha;China: Jiangxi;;7355198;3;315;;;;Changsha,China: Jiangxi,7355198,3,315,,,
Chapecó;Brazil: South;;403458;4;22;;;;Chapecó,Brazil: South,403458,4,22,,,
Charleroi;Belgium;;200132;7;11;;;;Charleroi,Belgium,200132,7,11,,,
Charleston;USA: South Carolina;USA;799636;4;35;X;;;Charleston,USA: South Carolina,799636,4,35,X,,
Charleston;USA: West Virginia;USA;208089;1;23;;;;Charleston,USA: West Virginia,208089,1,23,,,
Charlotte;USA: North Carolina;USA;2660329;1;112;;;;Charlotte,USA: North Carolina,2660329,1,112,,,
Charlottetown;Canada: Quebec;;32565;1;52;X;;;Charlottetown,Canada: Quebec,32565,1,52,X,,
Chelyabinsk;Russia: Ural;;1077174;3;132;;;;Chelyabinsk,Russia: Ural,1077174,3,132,,,
Chengdu;China: Chengdu;;5293000;4;134;;;;Chengdu,China: Chengdu,5293000,4,134,,,
Chennai;India: South;India;8653521;8;89;X;;;Chennai,India: South,8653521,8,89,X,,
Cherepovets;Russia: Vologodskaya;;312310;2;31;X;X;;Cherepovets,Russia: Vologodskaya,312310,2,31,X,X,
Chernobyl;Ukraine;;1;4;11;;;;Chernobyl,Ukraine,1,4,11,,,
Chernyakhovsk air base;Russia: Central;;2000;8;11;;;;Chernyakhovsk air base,Russia: Central,2000,8,11,,,
Chetlat;India: South;India;2400;2;10;X;X;;Chetlat,India: South,2400,2,10,X,X,
Cheyenne;USA: Wyoming;USA;99500;1;7;;;;Cheyenne,USA: Wyoming,99500,1,7,,,
Chiang Mai;Thailand;;960906;8;36;;;;Chiang Mai,Thailand,960906,8,36,,,
Chiashan Air Force Base;Taiwan;;2000;10;11;;;;Chiashan Air Force Base,Taiwan,2000,10,11,,,
Chicago;USA: Illinois;USA;9618502;6;300;X;;;Chicago,USA: Illinois,9618502,6,300,X,,
Chiclayo;Peru;;577375;5;11;X;;;Chiclayo,Peru,577375,5,11,X,,
Chifeng city;China: Inner Mongolia;;4035907;2;11;;;;Chifeng city,China: Inner Mongolia,4035907,2,11,,,
Chihuahua;Mexico;;809232;5;24;;;;Chihuahua,Mexico,809232,5,24,,,
Chittagong;Bangladesh;;3922421;10;55;X;;;Chittagong,Bangladesh,3922421,10,55,X,,
Chişinău;Moldova;;779300;2;13;;;;Chişinău,Moldova,779300,2,13,,,
Chongjin;North Korea;;327000;8;11;X;;;Chongjin,North Korea,327000,8,11,X,,
Chongqing;China: Chengdu;;4196000;3;107;;;;Chongqing,China: Chengdu,4196000,3,107,,,
Christchurch;New Zealand;;382200;7;33;X;;;Christchurch,New Zealand,382200,7,33,X,,
Christmas Island;Australia: Western;;1843;1;11;;;;Christmas Island,Australia: Western,1843,1,11,,,
Chur;Switzerland;;32429;8;11;;;;Chur,Switzerland,32429,8,11,,,
Ciudad Guayana;Venezuela;;746535;5;11;;;;Ciudad Guayana,Venezuela,746535,5,11,,,
Ciudad del Este;Paraguay;;376643;6;21;;X;;Ciudad del Este,Paraguay,376643,6,21,,X,
Claymore Fields;Claymore Fields;;500;1;28;X;X;;Claymore Fields,Claymore Fields,500,1,28,X,X,
Cleveland;USA: Ohio;USA;2088251;1;98;X;;;Cleveland,USA: Ohio,2088251,1,98,X,,
Cluj;Romania;;352646;5;18;;;;Cluj,Romania,352646,5,18,,,
Cochabamba;Bolivia;;1200000;2;11;;;;Cochabamba,Bolivia,1200000,2,11,,,
Cocos Islands;Australia: Western;;120;1;15;;;;Cocos Islands,Australia: Western,120,1,15,,,
Coimbra;Portugal;;106582;8;11;;;;Coimbra,Portugal,106582,8,11,,,
Colonia;Micronesia;;3126;1;17;X;X;;Colonia,Micronesia,3126,1,17,X,X,
Colorado Springs;USA: Colorado;USA;755105;6;24;;X;;Colorado Springs,USA: Colorado,755105,6,24,,X,
Columbia;USA: South Carolina;USA;829470;8;36;;;;Columbia,USA: South Carolina,829470,8,36,,,
Columbus;USA: Ohio;USA;2138926;1;100;;;;Columbus,USA: Ohio,2138926,1,100,,,
Comodoro Rivadavia;Argentina;;140850;4;11;X;;;Comodoro Rivadavia,Argentina,140850,4,11,X,,
Conakry;Guinea;;1857153;7;49;X;;;Conakry,Guinea,1857153,7,49,X,,
Concepcion & Talcahuano;Chile;;666381;7;29;X;;;Concepcion & Talcahuano,Chile,666381,7,29,X,,
Concepción;Paraguay;;76378;3;22;;X;;Concepción,Paraguay,76378,3,22,,X,
Conch Republic;Conch Republic;;68071;1;32;;;;Conch Republic,Conch Republic,68071,1,32,,,
Concord;USA: New Hampshire;USA;153808;1;25;;;;Concord,USA: New Hampshire,153808,1,25,,,
Constanta;Romania;;303339;6;11;X;;;Constanta,Romania,303339,6,11,X,,
Constantine;Algeria;;450000;7;11;;;;Constantine,Algeria,450000,7,11,,,
Cook Islands;Cook Islands;;15040;1;11;;;;Cook Islands,Cook Islands,15040,1,11,,,
Copenhagen;Denmark;;1199224;10;127;X;;;Copenhagen,Denmark,1199224,10,127,X,,
Copiapó;Chile;;158438;6;19;;;;Copiapó,Chile,158438,6,19,,,
Cordoba;Argentina;;1428214;8;29;;;;Cordoba,Argentina,1428214,8,29,,,
Corfu Naval base;Greece;;1500;7;11;X;;;Corfu Naval base,Greece,1500,7,11,X,,
Cork;Ireland;;190384;5;21;X;X;;Cork,Ireland,190384,5,21,X,X,
Cox's Bazar;Bangladesh;;253788;10;11;X;;;Cox's Bazar,Bangladesh,253788,10,11,X,,
Craiova;Romania;;304142;8;11;;;;Craiova,Romania,304142,8,11,,,
Cuarteron Outpost;China: Hebei;;1000;3;11;;;;Cuarteron Outpost,China: Hebei,1000,3,11,,,
Cucuta;Colombia;;721938;10;11;;;;Cucuta,Colombia,721938,10,11,,,
Cuenca;Ecuador;;276564;4;11;;;;Cuenca,Ecuador,276564,4,11,,,
Cuiaba;Brazil: Mato Grosso;;542861;4;18;;;;Cuiaba,Brazil: Mato Grosso,542861,4,18,,,
Cuito;Angola;;113624;3;11;;;;Cuito,Angola,113624,3,11,,,
Curacao;Netherlands;;155826;6;11;X;;;Curacao,Netherlands,155826,6,11,X,,
Curitiba;Brazil: South;;1828092;5;124;;;;Curitiba,Brazil: South,1828092,5,124,,,
Currie;Australia: Victoria;;768;1;11;X;;;Currie,Australia: Victoria,768,1,11,X,,
Cyprus Military base;Türkiye;;40000;8;25;X;;;Cyprus Military base,Türkiye,40000,8,25,X,,
Cyrus Field;Cyrus Field;;500;1;26;X;X;;Cyrus Field,Cyrus Field,500,1,26,X,X,
Cà Mau;Vietnam;;246632;8;11;;;;Cà Mau,Vietnam,246632,8,11,,,
Côte d'Ivoire Military base;France;;600;3;10;;;;Côte d'Ivoire Military base,France,600,3,10,,,
Dabus Military camp;Ethiopia;;1000;7;11;;;;Dabus Military camp,Ethiopia,1000,7,11,,,
Daegu;South Korea;;2180000;10;300;;;;Daegu,South Korea,2180000,10,300,,,
Daejon;South Korea;;1531000;10;115;;;;Daejon,South Korea,1531000,10,115,,,
Dakar;Senegal;;1030594;2;44;X;;;Dakar,Senegal,1030594,2,44,X,,
Dakhla;Morocco;;106277;5;30;;;;Dakhla,Morocco,106277,5,30,,,
Dakhla para-refugee camp;Sahrawi Arab Democratic Republic;;100000;2;11;;;;Dakhla para-refugee camp,Sahrawi Arab Democratic Republic,100000,2,11,,,
Dalian;China: Liaoning;;5106719;5;129;X;;;Dalian,China: Liaoning,5106719,5,129,X,,
Dallas;USA: Texas;USA;7637387;8;216;;;;Dallas,USA: Texas,7637387,8,216,,,
Dalnegorsk;Russia: Primorye;;37519;2;36;X;X;;Dalnegorsk,Russia: Primorye,37519,2,36,X,X,
Damascus;Syria;;1703000;10;51;;;;Damascus,Syria,1703000,10,51,,,
Damietta;Egypt;;305592;6;11;X;;;Damietta,Egypt,305592,6,11,X,,
Dammam & Khobar & Dhahran;Saudi Arabia;;1036941;8;27;X;;;Dammam & Khobar & Dhahran,Saudi Arabia,1036941,8,27,X,,
Danang;Vietnam;;752493;8;9;X;;;Danang,Vietnam,752493,8,9,X,,
Daneborg;Denmark;;200;4;11;X;;;Daneborg,Denmark,200,4,11,X,,
Dar es Salaam;Tanzania;;2612422;4;41;X;;;Dar es Salaam,Tanzania,2612422,4,41,X,,
Darhan;Mongolia;;74300;1;11;;;;Darhan,Mongolia,74300,1,11,,,
Daruba;Indonesia;;74436;1;10;X;;;Daruba,Indonesia,74436,1,10,X,,
Darwin;Australia: Northern Territory;;117395;6;134;X;;;Darwin,Australia: Northern Territory,117395,6,134,X,,
Dasoguz;Turkmenistan;;166500;4;11;;;;Dasoguz,Turkmenistan,166500,4,11,,,
Datong;China: Hebei;;1790452;4;41;;X;;Datong,China: Hebei,1790452,4,41,,X,
Daugavpils;Latvia;;111564;3;11;;;;Daugavpils,Latvia,111564,3,11,,,
Davao;Philippines;;1363337;7;38;X;;;Davao,Philippines,1363337,7,38,X,,
Dawei;Myanmar;;136783;3;11;;;;Dawei,Myanmar,136783,3,11,,,
Debrecen;Hungary;;204124;7;11;;;;Debrecen,Hungary,204124,7,11,,,
Deep Sea Deposit 01;Atlantic Ocean;;1;1;150;;X;;Deep Sea Deposit 01,Atlantic Ocean,1,1,150,,X,
Deep Sea Deposit 02;Atlantic Ocean;;1;1;80;;;;Deep Sea Deposit 02,Atlantic Ocean,1,1,80,,,
Deep Sea Deposit 03;Atlantic Ocean;;1;1;180;;;;Deep Sea Deposit 03,Atlantic Ocean,1,1,180,,,
Deep Sea Deposit 04;Atlantic Ocean;;1;1;80;;;;Deep Sea Deposit 04,Atlantic Ocean,1,1,80,,,
Deep Sea Deposit 05;Atlantic Ocean;;1;1;80;;;;Deep Sea Deposit 05,Atlantic Ocean,1,1,80,,,
Deep Sea Deposit 06;Atlantic Ocean;;1;1;80;;;;Deep Sea Deposit 06,Atlantic Ocean,1,1,80,,,
Deep Sea Deposit 07;Atlantic Ocean;;1;1;80;;;;Deep Sea Deposit 07,Atlantic Ocean,1,1,80,,,
Deep Sea Deposit 08;Atlantic Ocean;;1;1;80;;;;Deep Sea Deposit 08,Atlantic Ocean,1,1,80,,,
Deep Sea Deposit 09;Atlantic Ocean;;1;1;80;;;;Deep Sea Deposit 09,Atlantic Ocean,1,1,80,,,
Deep Sea Deposit 10;Atlantic Ocean;;1;1;80;;;;Deep Sea Deposit 10,Atlantic Ocean,1,1,80,,,
Deep Sea Deposit 11;Atlantic Ocean;;1;1;80;;;;Deep Sea Deposit 11,Atlantic Ocean,1,1,80,,,
Deep Sea Deposit 12;Atlantic Ocean;;1;1;80;;;;Deep Sea Deposit 12,Atlantic Ocean,1,1,80,,,
Deep Sea Deposit 13;Atlantic Ocean;;1;1;80;;;;Deep Sea Deposit 13,Atlantic Ocean,1,1,80,,,
Deep Sea Deposit 14;Atlantic Ocean;;1;1;80;;;;Deep Sea Deposit 14,Atlantic Ocean,1,1,80,,,
Deep Sea Deposit 15;Atlantic Ocean;;1;1;80;;;;Deep Sea Deposit 15,Atlantic Ocean,1,1,80,,,
Deep Sea Deposit 16;Atlantic Ocean;;1;1;80;;;;Deep Sea Deposit 16,Atlantic Ocean,1,1,80,,,
Deep Sea Deposit 17;Atlantic Ocean;;1;1;80;;;;Deep Sea Deposit 17,Atlantic Ocean,1,1,80,,,
Deep Sea Deposit 18;Atlantic Ocean;;1;1;80;;;;Deep Sea Deposit 18,Atlantic Ocean,1,1,80,,,
Deep Sea Deposit 19;Atlantic Ocean;;1;1;80;;;;Deep Sea Deposit 19,Atlantic Ocean,1,1,80,,,
Deep Sea Deposit 20;Atlantic Ocean;;1;1;80;;;;Deep Sea Deposit 20,Atlantic Ocean,1,1,80,,,
Deep Sea Deposit 21;Atlantic Ocean;;1;1;80;;;;Deep Sea Deposit 21,Atlantic Ocean,1,1,80,,,
Deep Sea Deposit EP01;Eastern Pacific Ocean;;1;1;120;;;;Deep Sea Deposit EP01,Eastern Pacific Ocean,1,1,120,,,
Deep Sea Deposit EP02;Eastern Pacific Ocean;;1;1;80;;;;Deep Sea Deposit EP02,Eastern Pacific Ocean,1,1,80,,,
Deep Sea Deposit EP03;Eastern Pacific Ocean;;1;1;80;;;;Deep Sea Deposit EP03,Eastern Pacific Ocean,1,1,80,,,
Deep Sea Deposit EP04;Eastern Pacific Ocean;;1;1;80;;;;Deep Sea Deposit EP04,Eastern Pacific Ocean,1,1,80,,,
Deep Sea Deposit EP05;Eastern Pacific Ocean;;1;1;80;;;;Deep Sea Deposit EP05,Eastern Pacific Ocean,1,1,80,,,
Deep Sea Deposit EP06;Eastern Pacific Ocean;;1;1;110;;;;Deep Sea Deposit EP06,Eastern Pacific Ocean,1,1,110,,,
Deep Sea Deposit EP07;Eastern Pacific Ocean;;1;1;80;;;;Deep Sea Deposit EP07,Eastern Pacific Ocean,1,1,80,,,
Deep Sea Deposit EP08;Eastern Pacific Ocean;;1;1;80;;;;Deep Sea Deposit EP08,Eastern Pacific Ocean,1,1,80,,,
Deep Sea Deposit EP09;Eastern Pacific Ocean;;1;1;80;;;;Deep Sea Deposit EP09,Eastern Pacific Ocean,1,1,80,,,
Deep Sea Deposit EP10;Eastern Pacific Ocean;;1;1;80;;;;Deep Sea Deposit EP10,Eastern Pacific Ocean,1,1,80,,,
Deep Sea Deposit EP11;Eastern Pacific Ocean;;1;1;80;;;;Deep Sea Deposit EP11,Eastern Pacific Ocean,1,1,80,,,
Deep Sea Deposit EP12;Eastern Pacific Ocean;;1;1;80;;;;Deep Sea Deposit EP12,Eastern Pacific Ocean,1,1,80,,,
Deep Sea Deposit EP13;Eastern Pacific Ocean;;1;1;80;;;;Deep Sea Deposit EP13,Eastern Pacific Ocean,1,1,80,,,
Deep Sea Deposit EP14;Eastern Pacific Ocean;;1;1;80;;;;Deep Sea Deposit EP14,Eastern Pacific Ocean,1,1,80,,,
Deep Sea Deposit EP15;Eastern Pacific Ocean;;1;1;80;;;;Deep Sea Deposit EP15,Eastern Pacific Ocean,1,1,80,,,
Deep Sea Deposit EP16;Eastern Pacific Ocean;;1;1;80;;;;Deep Sea Deposit EP16,Eastern Pacific Ocean,1,1,80,,,
Deep Sea Deposit EP17;Eastern Pacific Ocean;;1;1;80;;;;Deep Sea Deposit EP17,Eastern Pacific Ocean,1,1,80,,,
Deep Sea Deposit EP18;Eastern Pacific Ocean;;1;1;80;;;;Deep Sea Deposit EP18,Eastern Pacific Ocean,1,1,80,,,
Deep Sea Deposit EP18;Eastern Pacific Ocean;;1;1;80;;;;Deep Sea Deposit EP18,Eastern Pacific Ocean,1,1,80,,,
Deep Sea Deposit EP19;Eastern Pacific Ocean;;1;1;80;;;;Deep Sea Deposit EP19,Eastern Pacific Ocean,1,1,80,,,
Deep Sea Deposit EP20;Eastern Pacific Ocean;;1;1;80;;;;Deep Sea Deposit EP20,Eastern Pacific Ocean,1,1,80,,,
Deep Sea Deposit EP21;Eastern Pacific Ocean;;1;1;80;;;;Deep Sea Deposit EP21,Eastern Pacific Ocean,1,1,80,,,
Deep Sea Deposit EP22;Eastern Pacific Ocean;;1;1;80;;;;Deep Sea Deposit EP22,Eastern Pacific Ocean,1,1,80,,,
Deep Sea Deposit EP23;Eastern Pacific Ocean;;1;1;80;;;;Deep Sea Deposit EP23,Eastern Pacific Ocean,1,1,80,,,
Deep Sea Deposit EP24;Eastern Pacific Ocean;;1;1;80;;;;Deep Sea Deposit EP24,Eastern Pacific Ocean,1,1,80,,,
Deep Sea Deposit EP25;Eastern Pacific Ocean;;1;1;80;;;;Deep Sea Deposit EP25,Eastern Pacific Ocean,1,1,80,,,
Deep Sea Deposit EP26;Eastern Pacific Ocean;;1;1;80;;;;Deep Sea Deposit EP26,Eastern Pacific Ocean,1,1,80,,,
Deep Sea Deposit EP27;Eastern Pacific Ocean;;1;1;80;;;;Deep Sea Deposit EP27,Eastern Pacific Ocean,1,1,80,,,
Deep Sea Deposit EP29;Eastern Pacific Ocean;;1;1;80;;;;Deep Sea Deposit EP29,Eastern Pacific Ocean,1,1,80,,,
Deep Sea Deposit EP30;Eastern Pacific Ocean;;1;1;80;;;;Deep Sea Deposit EP30,Eastern Pacific Ocean,1,1,80,,,
Deep Sea Deposit EP31;Eastern Pacific Ocean;;1;1;80;;;;Deep Sea Deposit EP31,Eastern Pacific Ocean,1,1,80,,,
Deep Sea Deposit EP32;Eastern Pacific Ocean;;1;1;11;;;;Deep Sea Deposit EP32,Eastern Pacific Ocean,1,1,11,,,
Deep Sea Deposit EP33;Eastern Pacific Ocean;;1;1;80;;;;Deep Sea Deposit EP33,Eastern Pacific Ocean,1,1,80,,,
Deep Sea Deposit EP34;Eastern Pacific Ocean;;1;1;120;;;;Deep Sea Deposit EP34,Eastern Pacific Ocean,1,1,120,,,
Deep Sea Deposit EP35;Eastern Pacific Ocean;;1;1;80;;;;Deep Sea Deposit EP35,Eastern Pacific Ocean,1,1,80,,,
Deep Sea Deposit I01;Indian Ocean;India;1;1;80;;;;Deep Sea Deposit I01,Indian Ocean,1,1,80,,,
Deep Sea Deposit I02;Indian Ocean;India;1;1;80;;;;Deep Sea Deposit I02,Indian Ocean,1,1,80,,,
Deep Sea Deposit I03;Indian Ocean;India;1;1;80;;;;Deep Sea Deposit I03,Indian Ocean,1,1,80,,,
Deep Sea Deposit I04;Indian Ocean;India;1;1;80;;;;Deep Sea Deposit I04,Indian Ocean,1,1,80,,,
Deep Sea Deposit I05;Indian Ocean;India;1;1;80;;;;Deep Sea Deposit I05,Indian Ocean,1,1,80,,,
Deep Sea Deposit I06;Indian Ocean;India;1;1;80;;;;Deep Sea Deposit I06,Indian Ocean,1,1,80,,,
Deep Sea Deposit I07;Indian Ocean;India;1;1;80;;;;Deep Sea Deposit I07,Indian Ocean,1,1,80,,,
Deep Sea Deposit I08;Indian Ocean;India;1;1;80;;;;Deep Sea Deposit I08,Indian Ocean,1,1,80,,,
Deep Sea Deposit I09;Indian Ocean;India;1;1;80;;;;Deep Sea Deposit I09,Indian Ocean,1,1,80,,,
Deep Sea Deposit I10;Indian Ocean;India;1;1;100;;;;Deep Sea Deposit I10,Indian Ocean,1,1,100,,,
Deep Sea Deposit I11;Indian Ocean;India;1;1;80;;;;Deep Sea Deposit I11,Indian Ocean,1,1,80,,,
Deep Sea Deposit I12;Indian Ocean;India;1;1;80;;;;Deep Sea Deposit I12,Indian Ocean,1,1,80,,,
Deep Sea Deposit I13;Indian Ocean;India;1;1;80;;;;Deep Sea Deposit I13,Indian Ocean,1,1,80,,,
Deep Sea Deposit I14;Indian Ocean;India;1;1;80;;;;Deep Sea Deposit I14,Indian Ocean,1,1,80,,,
Deep Sea Deposit I15;Indian Ocean;India;1;1;80;;;;Deep Sea Deposit I15,Indian Ocean,1,1,80,,,
Deep Sea Deposit I16;Indian Ocean;India;1;1;80;;;;Deep Sea Deposit I16,Indian Ocean,1,1,80,,,
Deep Sea Deposit I17;Indian Ocean;India;1;1;80;;;;Deep Sea Deposit I17,Indian Ocean,1,1,80,,,
Deep Sea Deposit I18;Indian Ocean;India;1;1;80;;;;Deep Sea Deposit I18,Indian Ocean,1,1,80,,,
Deep Sea Deposit I19;Indian Ocean;India;1;1;80;;;;Deep Sea Deposit I19,Indian Ocean,1,1,80,,,
Deep Sea Deposit I20;Indian Ocean;India;1;1;80;;;;Deep Sea Deposit I20,Indian Ocean,1,1,80,,,
Deep Sea Deposit I21;Indian Ocean;India;1;1;80;;;;Deep Sea Deposit I21,Indian Ocean,1,1,80,,,
Deep Sea Deposit I22;Indian Ocean;India;1;1;80;;;;Deep Sea Deposit I22,Indian Ocean,1,1,80,,,
Deep Sea Deposit I23;Indian Ocean;India;1;1;80;;;;Deep Sea Deposit I23,Indian Ocean,1,1,80,,,
Deep Sea Deposit I24;Indian Ocean;India;1;1;80;;;;Deep Sea Deposit I24,Indian Ocean,1,1,80,,,
Deep Sea Deposit WP01;Western Pacific Ocean;;1;1;110;;;;Deep Sea Deposit WP01,Western Pacific Ocean,1,1,110,,,
Deep Sea Deposit WP02;Western Pacific Ocean;;1;1;80;;;;Deep Sea Deposit WP02,Western Pacific Ocean,1,1,80,,,
Deep Sea Deposit WP03;Western Pacific Ocean;;1;1;80;;;;Deep Sea Deposit WP03,Western Pacific Ocean,1,1,80,,,
Deep Sea Deposit WP04;Western Pacific Ocean;;1;1;80;;;;Deep Sea Deposit WP04,Western Pacific Ocean,1,1,80,,,
Deep Sea Deposit WP05;Western Pacific Ocean;;1;1;11;;;;Deep Sea Deposit WP05,Western Pacific Ocean,1,1,11,,,
Deep Sea Deposit WP06;Western Pacific Ocean;;1;1;80;;;;Deep Sea Deposit WP06,Western Pacific Ocean,1,1,80,,,
Deep Sea Deposit WP06;Western Pacific Ocean;;1;1;80;;;;Deep Sea Deposit WP06,Western Pacific Ocean,1,1,80,,,
Deep Sea Deposit WP07;Western Pacific Ocean;;1;1;80;;;;Deep Sea Deposit WP07,Western Pacific Ocean,1,1,80,,,
Deep Sea Deposit WP08;Western Pacific Ocean;;1;1;80;;;;Deep Sea Deposit WP08,Western Pacific Ocean,1,1,80,,,
Deep Sea Deposit WP09;Western Pacific Ocean;;1;1;80;;;;Deep Sea Deposit WP09,Western Pacific Ocean,1,1,80,,,
Deep Sea Deposit WP10;Western Pacific Ocean;;1;1;80;;;;Deep Sea Deposit WP10,Western Pacific Ocean,1,1,80,,,
Deep Sea Deposit WP11;Western Pacific Ocean;;1;1;80;;;;Deep Sea Deposit WP11,Western Pacific Ocean,1,1,80,,,
Deep Sea Deposit WP12;Western Pacific Ocean;;1;1;80;;;;Deep Sea Deposit WP12,Western Pacific Ocean,1,1,80,,,
Deep Sea Deposit WP13;Western Pacific Ocean;;1;1;80;;;;Deep Sea Deposit WP13,Western Pacific Ocean,1,1,80,,,
Deep Sea Deposit WP14;Western Pacific Ocean;;1;1;80;;;;Deep Sea Deposit WP14,Western Pacific Ocean,1,1,80,,,
Deep Sea Deposit WP15;Western Pacific Ocean;;1;1;80;;;;Deep Sea Deposit WP15,Western Pacific Ocean,1,1,80,,,
Deep Sea Deposit WP16;Western Pacific Ocean;;1;1;80;;;;Deep Sea Deposit WP16,Western Pacific Ocean,1,1,80,,,
Deep Sea Deposit WP17;Western Pacific Ocean;;1;1;80;;;;Deep Sea Deposit WP17,Western Pacific Ocean,1,1,80,,,
Deep Sea Deposit WP18;Western Pacific Ocean;;1;1;80;;;;Deep Sea Deposit WP18,Western Pacific Ocean,1,1,80,,,
Deep Sea Deposit WP19;Western Pacific Ocean;;1;1;80;;;;Deep Sea Deposit WP19,Western Pacific Ocean,1,1,80,,,
Deep Sea Deposit WP20;Western Pacific Ocean;;1;1;80;;;;Deep Sea Deposit WP20,Western Pacific Ocean,1,1,80,,,
Deep Sea Deposit WP21;Western Pacific Ocean;;1;1;80;;;;Deep Sea Deposit WP21,Western Pacific Ocean,1,1,80,,,
Deep Sea Deposit WP22;Western Pacific Ocean;;1;1;80;;;;Deep Sea Deposit WP22,Western Pacific Ocean,1,1,80,,,
Deep Sea Deposit WP23;Western Pacific Ocean;;1;1;80;;;;Deep Sea Deposit WP23,Western Pacific Ocean,1,1,80,,,
Deep Sea Deposit WP25;Western Pacific Ocean;;1;1;220;;;;Deep Sea Deposit WP25,Western Pacific Ocean,1,1,220,,,
Deep Sea Deposit WP26;Western Pacific Ocean;;1;1;80;;;;Deep Sea Deposit WP26,Western Pacific Ocean,1,1,80,,,
Deep Sea Deposit WP27;Western Pacific Ocean;;1;1;80;;;;Deep Sea Deposit WP27,Western Pacific Ocean,1,1,80,,,
Deep Sea Deposit WP28;Western Pacific Ocean;;1;1;80;;;;Deep Sea Deposit WP28,Western Pacific Ocean,1,1,80,,,
Deep Sea Deposit WP29;Western Pacific Ocean;;1;1;80;;;;Deep Sea Deposit WP29,Western Pacific Ocean,1,1,80,,,
Deep Sea Deposit WP30;Western Pacific Ocean;;1;1;80;;;;Deep Sea Deposit WP30,Western Pacific Ocean,1,1,80,,,
Deep Sea Deposit WP31;Western Pacific Ocean;;1;1;80;;;;Deep Sea Deposit WP31,Western Pacific Ocean,1,1,80,,,
Deep Sea Deposit WP32;Western Pacific Ocean;;1;1;80;;;;Deep Sea Deposit WP32,Western Pacific Ocean,1,1,80,,,
Deep Sea Deposit WP33;Western Pacific Ocean;;1;1;80;;;;Deep Sea Deposit WP33,Western Pacific Ocean,1,1,80,,,
Deep Sea Deposit WP34;Western Pacific Ocean;;1;1;80;;;;Deep Sea Deposit WP34,Western Pacific Ocean,1,1,80,,,
Deep Sea Deposit WP35;Western Pacific Ocean;;1;1;80;;;;Deep Sea Deposit WP35,Western Pacific Ocean,1,1,80,,,
Deir ez-Zor;Syria;;242565;8;11;;;;Deir ez-Zor,Syria,242565,8,11,,,
Delhi;India: Central;India;13782976;10;312;;;;Delhi,India: Central,13782976,10,312,,,
Denver;USA: Colorado;USA;2963821;8;94;;;;Denver,USA: Colorado,2963821,8,94,,,
Des Moines;USA: Iowa;USA;699292;1;58;;;;Des Moines,USA: Iowa,699292,1,58,,,
Dese & Kombolcha;Ethiopia;;229661;8;11;;;;Dese & Kombolcha,Ethiopia,229661,8,11,,,
Detroit;USA: Michigan;USA;4392041;1;132;X;;;Detroit,USA: Michigan,4392041,1,132,X,,
Dhaka;Bangladesh;;11737774;10;147;;;;Dhaka,Bangladesh,11737774,10,147,,,
Dibrugarh;India: East;India;1327748;8;87;;;;Dibrugarh,India: East,1327748,8,87,,,
Diego Garcia;United Kingdom;;1500;2;11;X;;;Diego Garcia,United Kingdom,1500,2,11,X,,
Diego Garcia Naval Base;USA: Virginia;USA;1500;3;20;X;;;Diego Garcia Naval Base,USA: Virginia,1500,3,20,X,,
Dili;East Timor;;193563;1;25;X;;;Dili,East Timor,193563,1,25,X,,
